n,array_type,algorithm,threshold,time_us
26500,reversed,hybrid,50,1730
26500,almost,merge,0,2320
26500,almost,hybrid,5,1935
26500,almost,hybrid,10,1870
26500,almost,hybrid,20,1677
26500,almost,hybrid,30,1555
26500,almost,hybrid,50,1502
27500,random,merge,0,1930
27500,random,hybrid,5,1538
27500,random,hybrid,10,1455
27500,random,hybrid,20,1275
27500,random,hybrid,30,1119
27500,random,hybrid,50,1128
27500,reversed,merge,0,1912
27500,reversed,hybrid,5,1680
27500,reversed,hybrid,10,1584
27500,reversed,hybrid,20,1530
27500,reversed,hybrid,30,1812
27500,reversed,hybrid,50,1768
27500,almost,merge,0,2283
27500,almost,hybrid,5,1969
27500,almost,hybrid,10,1888
27500,almost,hybrid,20,1755
27500,almost,hybrid,30,1595
27500,almost,hybrid,50,1662
28500,random,merge,0,1893
28500,random,hybrid,5,1577
28500,random,hybrid,10,1514
28500,random,hybrid,20,1336
28500,random,hybrid,30,1189
28500,random,hybrid,50,1191
28500,reversed,merge,0,2199
28500,reversed,hybrid,5,1859
28500,reversed,hybrid,10,1654
28500,reversed,hybrid,20,1586
28500,reversed,hybrid,30,1859
28500,reversed,hybrid,50,1882
28500,almost,merge,0,2285
28500,almost,hybrid,5,2029
28500,almost,hybrid,10,1892
28500,almost,hybrid,20,1753
28500,almost,hybrid,30,1625
28500,almost,hybrid,50,1626
29500,random,merge,0,2019
29500,random,hybrid,5,1706
29500,random,hybrid,10,1537
29500,random,hybrid,20,1390
29500,random,hybrid,30,1212
29500,random,hybrid,50,1203
29500,reversed,merge,0,2187
29500,reversed,hybrid,5,1831
29500,reversed,hybrid,10,1709
29500,reversed,hybrid,20,1637
29500,reversed,hybrid,30,1994
29500,reversed,hybrid,50,2017
29500,almost,merge,0,2464
29500,almost,hybrid,5,2126
29500,almost,hybrid,10,2027
29500,almost,hybrid,20,1828
29500,almost,hybrid,30,1718
29500,almost,hybrid,50,1698
30500,random,merge,0,2056
30500,random,hybrid,5,1744
30500,random,hybrid,10,1602
30500,random,hybrid,20,1426
30500,random,hybrid,30,1259
30500,random,hybrid,50,1257
30500,reversed,merge,0,2147
30500,reversed,hybrid,5,1850
30500,reversed,hybrid,10,1781
30500,reversed,hybrid,20,1821
30500,reversed,hybrid,30,2172
30500,reversed,hybrid,50,2101
30500,almost,merge,0,2540
30500,almost,hybrid,5,2235
30500,almost,hybrid,10,2599
30500,almost,hybrid,20,2834
30500,almost,hybrid,30,1803
30500,almost,hybrid,50,1775
31500,random,merge,0,2244
31500,random,hybrid,5,1862
31500,random,hybrid,10,1760
31500,random,hybrid,20,1443
31500,random,hybrid,30,1403
31500,random,hybrid,50,1273
31500,reversed,merge,0,2276
31500,reversed,hybrid,5,1915
31500,reversed,hybrid,10,1777
31500,reversed,hybrid,20,1794
31500,reversed,hybrid,30,2095
31500,reversed,hybrid,50,3090
31500,almost,merge,0,2600
31500,almost,hybrid,5,2398
31500,almost,hybrid,10,2102
31500,almost,hybrid,20,1953
31500,almost,hybrid,30,2038
31500,almost,hybrid,50,1982
32500,random,merge,0,2149
32500,random,hybrid,5,1848
32500,random,hybrid,10,1678
32500,random,hybrid,20,1509
32500,random,hybrid,30,1552
32500,random,hybrid,50,1345
32500,reversed,merge,0,2413
32500,reversed,hybrid,5,1997
32500,reversed,hybrid,10,1838
32500,reversed,hybrid,20,1892
32500,reversed,hybrid,30,1883
32500,reversed,hybrid,50,2306
32500,almost,merge,0,2689
32500,almost,hybrid,5,2423
32500,almost,hybrid,10,2208
32500,almost,hybrid,20,2070
32500,almost,hybrid,30,1985
32500,almost,hybrid,50,1859
33500,random,merge,0,2254
33500,random,hybrid,5,1957
33500,random,hybrid,10,1844
