n,array_type,algorithm,time_us
75500,almost,quick,4965
75500,almost,intro,3456
76500,random,quick,7582
76500,random,intro,6463
76500,reversed,quick,3930
76500,reversed,intro,2199
76500,almost,quick,5089
76500,almost,intro,3545
77500,random,quick,7664
77500,random,intro,6491
77500,reversed,quick,3834
77500,reversed,intro,2203
77500,almost,quick,5069
77500,almost,intro,3705
78500,random,quick,7741
78500,random,intro,6711
78500,reversed,quick,3994
78500,reversed,intro,2202
78500,almost,quick,5158
78500,almost,intro,3657
79500,random,quick,7982
79500,random,intro,6674
79500,reversed,quick,3825
79500,reversed,intro,2256
79500,almost,quick,5208
79500,almost,intro,3680
80500,random,quick,7929
80500,random,intro,6795
80500,reversed,quick,3955
80500,reversed,intro,2338
80500,almost,quick,5320
80500,almost,intro,3715
81500,random,quick,8024
81500,random,intro,6881
81500,reversed,quick,3982
81500,reversed,intro,2377
81500,almost,quick,5393
81500,almost,intro,3851
82500,random,quick,8150
82500,random,intro,6938
82500,reversed,quick,3956
82500,reversed,intro,2537
82500,almost,quick,5514
82500,almost,intro,3779
83500,random,quick,8317
83500,random,intro,7052
83500,reversed,quick,4073
83500,reversed,intro,2503
83500,almost,quick,5503
83500,almost,intro,3899
84500,random,quick,8381
84500,random,intro,7022
84500,reversed,quick,4143
84500,reversed,intro,2543
84500,almost,quick,5585
84500,almost,intro,4138
85500,random,quick,8448
85500,random,intro,7130
85500,reversed,quick,4193
85500,reversed,intro,2565
85500,almost,quick,5739
85500,almost,intro,4198
86500,random,quick,8574
86500,random,intro,7258
86500,reversed,quick,4221
86500,reversed,intro,2426
86500,almost,quick,5642
86500,almost,intro,3952
87500,random,quick,8614
87500,random,intro,7354
87500,reversed,quick,4232
87500,reversed,intro,2481
87500,almost,quick,5575
87500,almost,intro,4051
88500,random,quick,8726
88500,random,intro,7354
88500,reversed,quick,4286
88500,reversed,intro,2475
88500,almost,quick,5757
88500,almost,intro,4131
89500,random,quick,8831
89500,random,intro,7398
89500,reversed,quick,4671
89500,reversed,intro,2701
89500,almost,quick,5807
89500,almost,intro,4059
90500,random,quick,8931
90500,random,intro,7586
90500,reversed,quick,4581
90500,reversed,intro,2578
90500,almost,quick,5971
90500,almost,intro,4100
91500,random,quick,9178
91500,random,intro,7815
91500,reversed,quick,4485
91500,reversed,intro,2728
91500,almost,quick,5880
91500,almost,intro,4175
92500,random,quick,9172
92500,random,intro,7794
92500,reversed,quick,4528
